o,d,flow
44007003602,44007003602,1050
44009050600,44009050600,1020
44009051400,44009051400,940
44005041200,44005041200,855
44005041300,44005041300,775
44005040400,44005040400,755
44005040900,44005040900,705
44001030800,44001030800,680
44001030902,44001030902,605
44009050700,44009050700,595
44009050500,44009050500,565
44005040600,44005040600,555
44007011600,44007011600,550
44009041500,44009041500,540
44009050801,44009050801,535
44009051504,44009051202,525
44007012601,44007012601,515
44005040103,44005040103,500
44007002400,44007002300,480
44009051502,44009051502,475
44003021300,44003021100,460
44009051101,44009051101,450
44009051201,44009051202,445
44003020800,44003020800,420
44009050802,44009050802,415
44009050902,44009050902,415
44009051202,44009051202,410
44003020300,44003020300,405
44005041400,44005041400,405
44005040103,44005041200,400
44005040700,44005041000,400
44009051306,44009051306,400
44009050103,44009050103,385
44009050700,44009050600,380
44005040500,44005040500,375
44005040600,44005041000,375
44009050901,44009050801,375
44007003500,44007000800,365
44007011403,44007011403,365
44009050700,44009050802,365
44009050901,44009050802,360
44007012200,44007012200,350
44009051503,44009051202,350
44009051504,44009051504,350
44003020903,44003020903,345
44007012803,44007012803,345
44003021100,44003021100,330
44005040102,44005040103,325
44007012602,44007012602,325
44007012900,44007012900,325
44007003500,44007000600,320
44007018400,44007018500,320
44009051302,44009051202,320
44009051306,44009051400,320
44007000800,44007000800,315
44007012000,44007012000,315
44009050700,44009050801,315
44007003400,44007000600,310
44007012401,44007012401,310
44009050801,44009050802,310
44009051306,44009051202,310
44005040103,44005040400,305
44007000102,44007000800,305
44001030700,44001030700,300
44007002400,44007002400,300
44007003601,44007003602,300
44009051504,44009051400,300
44001030901,44001030901,295
44001030100,44001030100,290
44001030300,44001030300,290
44005040900,44005040800,290
44007002300,44007002300,290
44007003601,44007003601,290
44007011800,44007011800,290
44007012900,44007013002,290
44007013500,44007000600,290
44009051502,44009051202,290
44003020703,44003020703,285
44007013002,44007013002,285
44009051102,44009051102,285
44005040102,44005040400,280
44005040800,44005040800,280
44007011500,44007011600,280
44009050902,44009050901,280
44007000101,44007000101,275
44007003400,44007003400,275
44007003602,44007003601,275
44007003700,44007003602,275
44001030500,44001030500,270
44005040600,44005040800,270
44005041602,44005041602,270
44007011401,44007011401,270
44007011701,44007011600,270
44009050801,09011701100,270
44009051101,44009050600,270
44001030902,44001030700,265
44001030902,44001030800,265
44003020901,44003020901,265
44007002700,44007002300,265
44007003700,44007000800,265
44005041000,44005041000,260
44007003500,44007003602,260
44007012702,44007012702,260
44007012801,44007012801,260
44007013101,44007013101,260
44009050802,44009050801,260
44009050902,44009050802,260
44005040101,44005040101,255
44005040900,44005041200,255
44007014600,44007014600,255
44001030700,44001030902,250
44003021002,44007000800,250
44007002900,44007002900,240
44007003200,44007000800,240
44007010101,44007010101,240
44007010900,44007010900,240
44001030800,44001030902,235
44001030901,44001030902,235
44005040400,44005040304,235
44007000900,44007000800,235
44007001100,44007000800,235
44007003602,44007000800,235
44007010200,44007010200,235
44007011800,44007000800,235
44007018400,44007018000,235
44009050302,44009050302,235
44009050901,44009050901,235
44003022300,44003022300,230
44005040102,44005040200,230
44005040200,44005041200,230
44007012701,44007012701,230
44007013400,44007000800,230
44009050902,44009050801,230
44003020102,44003020101,225
44003022201,44003022300,225
44005040101,44005040103,225
44005040102,44005040102,225
44005040500,44005040900,225
44005040500,44005041000,225
44007000300,44007000300,225
44007010200,44007000800,225
44007011200,44007011301,225
44007011302,44007011302,225
44007011701,44007011701,225
44009050500,44009051306,225
44009050700,44009050901,225
44009050901,44009050902,225
44003022100,44003022100,220
44007001400,44007001400,220
44007001800,44007000800,220
44007002000,44007000800,220
44007002102,44007000800,220
44007003500,44007003601,220
44007010200,25005632200,220
44007010400,44007010501,220
44007011702,44007011600,220
