Id Label "Nodes " Sex Race Grade Scode totalnoms
1 1 1 1 1 10 1 0
2 2 2 2 1 12 1 0
3 3 3 1 5 8 1 3
4 4 4 2 1 12 1 4
5 5 5 2 3 12 1 10
6 6 6 2 1 12 1 10
7 7 7 1 1 7 1 9
8 8 8 2 1 11 1 8
9 9 9 1 1 10 1 4
10 10 10 2 1 12 1 3
11 11 11 2 1 9 1 9
12 12 12 1 1 7 1 10
13 13 13 1 1 10 1 10
14 14 14 1 1 9 1 10
15 15 15 2 1 7 1 10
16 16 16 2 1 10 1 4
17 17 17 2 1 12 1 2
18 18 18 2 1 11 1 10
19 19 19 1 1 7 1 6
20 20 20 2 5 12 1 10
21 21 21 1 1 9 1 0
22 22 22 1 1 11 1 4
23 23 23 2 1 12 1 10
24 24 24 2 1 7 1 10
25 25 25 1 1 10 1 1
26 26 26 2 1 8 1 3
27 27 27 2 1 10 1 6
28 28 28 2 1 11 1 0
29 29 29 1 1 12 1 0
30 30 30 2 1 8 1 10
31 31 31 2 1 12 1 3
32 32 32 1 1 8 1 5
33 33 33 1 1 9 1 6
34 34 34 2 1 7 1 10
35 35 35 1 1 10 1 7
36 36 36 2 5 12 1 7
37 37 37 1 1 8 1 3
38 38 38 1 1 10 1 10
39 39 39 2 1 7 1 10
40 40 40 1 1 7 1 10
41 41 41 1 3 8 1 10
42 42 42 2 1 7 1 10
43 43 43 1 1 8 1 10
44 44 44 1 1 9 1 0
45 45 45 2 1 7 1 10
46 46 46 1 1 11 1 10
47 47 47 2 5 12 1 5
48 48 48 1 1 7 1 9
49 49 49 1 1 11 1 6
50 50 50 2 1 7 1 8
51 51 51 2 1 9 1 8
52 52 52 2 1 7 1 10
53 53 53 2 1 9 1 10
54 54 54 1 1 7 1 1
55 55 55 2 1 12 1 10
56 56 56 1 1 11 1 10
57 57 57 2 1 10 1 6
58 58 58 1 1 10 1 10
59 59 59 1 1 8 1 10
60 60 60 2 1 12 1 7
61 61 61 1 1 10 1 4
62 62 62 1 1 12 1 5
63 63 63 1 5 9 1 10
64 64 64 2 0 12 1 0
65 65 65 2 1 10 1 8
66 66 66 2 1 10 1 10
67 67 67 1 4 10 1 0
68 68 68 1 0 9 1 2
69 69 69 2 1 8 1 10
70 70 70 1 1 7 1 8
71 71 71 2 1 10 1 10
72 72 72 1 1 9 1 8
73 73 73 1 1 8 1 0
74 74 74 1 1 9 1 10
75 75 75 2 1 11 1 10
76 76 76 1 1 10 1 8
77 77 77 2 1 12 1 0
78 78 78 2 0 9 1 10
79 79 79 2 1 8 1 8
80 80 80 2 1 12 1 10
81 81 81 2 5 11 1 9
82 82 82 2 1 9 1 0
83 83 83 1 1 7 1 7
84 84 84 1 5 9 1 3
85 85 85 1 1 12 1 0
86 86 86 1 1 7 1 9
87 87 87 1 1 9 1 4
88 88 88 1 2 10 1 10
89 89 89 2 1 7 1 10
90 90 90 2 1 11 1 2
91 91 91 1 3 9 1 10
92 92 92 1 1 7 1 8
93 93 93 1 1 10 1 0
94 94 94 2 1 7 1 6
95 95 95 2 1 10 1 10
96 96 96 2 1 11 1 10
97 97 97 1 2 11 1 3
98 98 98 2 1 11 1 3
99 99 99 2 1 8 1 10
100 100 100 1 0 11 1 0
101 101 101 2 1 7 1 10
102 102 102 1 1 9 1 0
103 103 103 1 1 7 1 5
104 104 104 2 1 10 1 7
105 105 105 1 1 8 1 10
106 106 106 2 1 8 1 9
107 107 107 2 1 8 1 9
108 108 108 1 1 11 1 1
109 109 109 1 1 10 1 10
110 110 110 1 1 12 1 8
111 111 111 2 1 9 1 0
