source,target,type,id,,weight
1,2,Directed,1,,0.0436
1,4,Directed,2,,0.0767
1,8,Directed,3,,0.1026
2,4,Directed,4,,0.0515
2,8,Directed,5,,0.0866
3,5,Directed,6,,0.0269
3,8,Directed,7,,0.0843
4,8,Directed,8,,0.0365
4,26,Directed,9,,0.0915
4,47,Directed,10,,0.2109
5,8,Directed,11,,0.0849
6,7,Directed,12,,0.0197
6,8,Directed,13,,0.0683
6,13,Directed,14,,0.0143
7,8,Directed,15,,0.0488
7,13,Directed,16,,0.014
8,13,Directed,17,,0.0604
8,16,Directed,18,,0.0239
8,23,Directed,19,,0.0478
8,24,Directed,20,,0.0414
8,26,Directed,21,,0.083
8,27,Directed,22,,0.0351
8,28,Directed,23,,0.1099
8,30,Directed,24,,0.0596
8,34,Directed,25,,0.0774
8,35,Directed,26,,0.0863
8,36,Directed,27,,0.1093
8,37,Directed,28,,0.1999
8,38,Directed,29,,0.1622
8,47,Directed,30,,0.1926
8,65,Directed,31,,0.204
8,67,Directed,32,,0.3284
8,112,Directed,33,,0.3847
8,118,Directed,34,,0.3655
8,144,Directed,35,,0.2746
8,201,Directed,36,,0.2654
8,248,Directed,37,,0.3059
8,313,Directed,38,,0.3829
9,10,Directed,39,,0.003
9,11,Directed,40,,0.0022
9,12,Directed,41,,0.0037
9,13,Directed,42,,0.0053
10,11,Directed,43,,0.0011
10,12,Directed,44,,0.001
10,13,Directed,45,,0.0023
11,13,Directed,46,,0.0033
12,13,Directed,47,,0.002
13,14,Directed,48,,9.0E-4
13,15,Directed,49,,0.0011
13,17,Directed,50,,0.006
13,18,Directed,51,,0.0055
13,19,Directed,52,,0.0095
13,20,Directed,53,,0.0112
13,21,Directed,54,,0.0098
16,22,Directed,55,,0.0311
17,19,Directed,56,,0.0038
17,20,Directed,57,,0.0053
19,20,Directed,58,,0.0018
22,26,Directed,59,,0.0281
23,24,Directed,60,,0.01
25,26,Directed,61,,0.0057
26,29,Directed,62,,0.0131
26,31,Directed,63,,0.017
26,33,Directed,64,,0.0322
26,47,Directed,65,,0.1216
28,35,Directed,66,,0.0425
29,31,Directed,67,,0.0125
29,33,Directed,68,,0.0247
29,47,Directed,69,,0.1134
30,34,Directed,70,,0.0184
31,32,Directed,71,,0.0043
32,33,Directed,72,,0.0113
33,47,Directed,73,,0.0895
35,36,Directed,74,,0.0232
36,38,Directed,75,,0.0549
37,38,Directed,76,,0.0478
39,47,Directed,77,,0.013
39,65,Directed,78,,0.0306
39,142,Directed,79,,0.0835
40,45,Directed,80,,0.018
40,46,Directed,81,,0.0167
40,50,Directed,82,,0.0133
