id,name,x,y,lon,lat
1,Wiley Post-Will Rogers Mem,0.4407,-0.091,-156.83453,71.29047
2,Deadhorse,0.483,-0.1014,-148.52014,70.20234
3,Ralph Wien Memorial,0.411,-0.133,-162.6723,66.8961
4,Fairbanks Intl,0.4861,-0.1528,-147.91081,64.82448
5,Nome,0.3965,-0.1557,-165.5224,64.52106
6,St Mary's,0.4074,-0.1791,-163.37991,62.07277
7,Aniak,0.4266,-0.1837,-159.606,61.59148
8,Anchorage Intl,0.4752,-0.1876,-150.0533,61.183434
9,Tuluksak,0.4193,-0.1883,-161.04088,61.110195
10,Akiachak,0.4169,-0.1901,-161.51262,60.921864
11,Akiak,0.418,-0.1901,-161.2964,60.921864
12,Kwethluk,0.4169,-0.1911,-161.51262,60.817238
13,Bethel,0.4149,-0.1913,-161.90573,60.79631
14,Napaskiak,0.4152,-0.1921,-161.84676,60.71261
15,Napakiak,0.4142,-0.1922,-162.04332,60.702145
16,Merle K (Mudhole) Smith,0.4982,-0.1941,-145.53247,60.503353
17,Tuntutuliak,0.4107,-0.1956,-162.73128,60.346413
18,Eek,0.414,-0.1967,-162.08263,60.231323
19,Kongiganak,0.4096,-0.1992,-162.94748,59.969753
20,Kwigillingok,0.4082,-0.2003,-163.22267,59.85466
21,Quinhagak,0.4147,-0.2011,-161.94504,59.770958
22,Yakutat,0.5278,-0.2035,-139.71436,59.51985
23,Dillingham,0.4319,-0.2079,-158.56424,59.05949
24,King Salmon,0.4413,-0.2114,-156.7166,58.693295
25,Gustavus,0.548,-0.2138,-135.74388,58.44219
26,Juneau Intl,0.5537,-0.2145,-134.6235,58.36895
27,Kodiak,0.4625,-0.2203,-152.54958,57.762108
28,St Paul Island,0.3722,-0.2259,-170.29875,57.176193
29,Sitka,0.5497,-0.227,-135.40974,57.0611
30,Port Heiden,0.4312,-0.2278,-158.70184,56.977398
31,James A Johnson Petersburg,0.562,-0.2293,-132.99208,56.820457
32,Wrangell,0.565,-0.2324,-132.4024,56.496113
33,Ketchikan Intl,0.5683,-0.2432,-131.75377,55.366135
34,Sand Point,0.4216,-0.2435,-160.58879,55.334743
35,Cold Bay,0.4104,-0.2446,-162.79024,55.219654
36,Unalaska,0.3909,-0.2571,-166.62312,53.911808
37,Eareckson As,0.2924,-0.2684,-185.98405,52.729515
38,Adak Naf,0.3395,-0.2764,-176.72618,51.892494
39,Bellingham Intl,0.615,-0.3059,-122.57451,48.805977
40,Glacier Park Intl,0.6572,-0.3105,-114.27977,48.324688
41,Minot Intl,0.7233,-0.311,-101.2873,48.272373
42,William R Fairchild Intl,0.6101,-0.3123,-123.53764,48.13636
43,Grand Forks Afb,0.743,-0.3138,-97.415115,47.979416
44,Grand Forks Intl,0.7442,-0.3139,-97.179245,47.968956
45,Spokane Intl,0.6405,-0.3171,-117.56229,47.634144
46,Great Falls Intl,0.6719,-0.3184,-111.39037,47.49813
47,Seattle-Tacoma Intl,0.6162,-0.3188,-122.338646,47.45628
48,Pangborn Memorial,0.6269,-0.3192,-120.23547,47.41443
49,Grant County,0.6314,-0.321,-119.35097,47.226097
50,Missoula Intll,0.658,-0.3238,-114.12253,46.93314
51,Hector Intll,0.746,-0.3238,-96.82544,46.93314
52,Duluth Intl,0.7696,-0.3245,-92.186676,46.8599
53,Bismarck Muni,0.726,-0.3252,-100.75659,46.78666
54,Pullman/Moscow Regional,0.6427,-0.3254,-117.12986,46.765736
55,Helena Regional,0.6688,-0.3268,-111.9997,46.619255
56,Yakima Air Terminal,0.6252,-0.3271,-120.569626,46.587868
57,Marquette County,0.7931,-0.3275,-87.567566,46.546017
58,Lewiston-Nez Perce County,0.6431,-0.329,-117.05124,46.389076
59,Tri-Cities,0.6324,-0.33,-119.1544,46.284447
60,Walla Walla Regional,0.6367,-0.3317,-118.309204,46.106583
61,Bert Mooney,0.6662,-0.333,-112.51075,45.970566
62,Billings Logan Intl,0.6863,-0.3344,-108.559944,45.824085
63,Gallatin Field,0.673,-0.3347,-111.17416,45.792698
64,Eastern Oregon Regional At Pen,0.6338,-0.3355,-118.87923,45.708996
65,Portland Intl,0.6147,-0.3365,-122.63348,45.604366
66,Mcnary Fld,0.6127,-0.343,-123.026596,44.92429
67,Minneapolis-St Paul Intl/Wold-,0.7644,-0.3432,-93.20878,44.903362
68,Bangor Intl,0.8885,-0.3439,-68.81595,44.830124
69,Central Wisconsin,0.7824,-0.3442,-89.67074,44.798733
70,Cherry Capital,0.8032,-0.3446,-85.58234,44.75688
71,Austin Straubel Intll,0.7903,-0.347,-88.11793,44.505775
72,Burlington Intl,0.8665,-0.3472,-73.14022,44.48485
73,Outagamie County,0.7883,-0.3492,-88.51105,44.275597
74,Roberts Field,0.6221,-0.3492,-121.178955,44.275597
75,Mahlon Sweet Field,0.6116,-0.3505,-123.242805,44.13958
76,Rapid City Regional,0.7142,-0.3512,-103.07598,44.06634
77,Wittman Regional,0.7881,-0.3518,-88.550354,44.003563
78,Rochester Intll,0.768,-0.3525,-92.50117,43.930325
79,La Crosse Muni,0.7743,-0.3528,-91.262856,43.898937
80,Portland Intl Jetport,0.881,-0.355,-70.29014,43.668755
81,Jackson Hole,0.6751,-0.3554,-110.76139,43.626904
82,Joe Foss Field,0.7464,-0.3557,-96.74682,43.595516
83,Boise Air Terminal /Gowen Fld/,0.6472,-0.3558,-116.24535,43.585052
84,Mbs Intll,0.8109,-0.3561,-84.06884,43.553665
85,Fanning Field,0.6683,-0.3563,-112.097984,43.532738
86,Friedman Memorial,0.657,-0.3564,-114.319084,43.522278
87,North Bend Muni,0.6063,-0.3572,-124.28457,43.438576
88,Muskegon County,0.7999,-0.3596,-86.23097,43.18747
89,Oneida County,0.8552,-0.3598,-75.36133,43.166542
90,Dane County Regional-Truax Fie,0.7841,-0.3599,-89.336586,43.15608
91,Greater Rochester Intl,0.8435,-0.3601,-77.66106,43.135155
92,Syracuse Hancock Intl,0.8515,-0.3602,-76.08859,43.12469
93,Bishop Intll,0.8126,-0.3615,-83.73469,42.988674
94,General Mitchell Intll,0.7914,-0.3617,-87.90172,42.96775
95,Greater Buffalo Intl,0.8381,-0.3618,-78.722466,42.957287
96,Manchester,0.8753,-0.3619,-71.410515,42.946823
97,Pocatello Regional,0.6657,-0.3621,-112.60903,42.9259
98,Natrona County Intl,0.6969,-0.3621,-106.476425,42.9259
99,Kent County Intl,0.8035,-0.3623,-85.52337,42.904972
100,Capital City,0.8083,-0.3633,-84.57989,42.800346
101,Albany County,0.8632,-0.3636,-73.788864,42.768955
102,Waterloo Muni,0.7685,-0.3655,-92.402885,42.570164
103,Tompkins County,0.8497,-0.3661,-76.4424,42.50739
104,Twin Falls-Sun Valley Regional,0.656,-0.3662,-114.51564,42.496925
105,Detroit City,0.8163,-0.3669,-83.00742,42.423687
106,Sioux Gateway,0.7482,-0.3669,-96.39301,42.423687
107,Dubuque Regional,0.7771,-0.3669,-90.712494,42.423687
108,Rogue Valley Intl- M,0.6133,-0.3672,-122.90866,42.392296
